! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
@"IEA-15-240-RWT_AF01_Coords.txt"       NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
AF01_BL.txt              BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1 
! ------------------------------------------------------------------------------
3.000000                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
False                    InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
! Table of aerodynamics coefficients
200                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
-1.80000000000000e+02  9.99956900108589e-05  3.49991742771221e-01 -9.99956900108589e-05
-1.77000000000000e+02  1.08182339015592e-04  3.49991665503880e-01 -9.78096826804698e-05
-1.74000000000000e+02  1.16535527858563e-04  3.49991459408608e-01 -9.55059016620131e-05
-1.71000000000000e+02  1.24888681656388e-04  3.49991126498129e-01 -9.32021652702975e-05
-1.68000000000000e+02  1.33206210387149e-04  3.49991544878852e-01 -9.33805516582925e-05
-1.65000000000000e+02  1.41506664871671e-04  3.49991518311294e-01 -9.47999407836103e-05
-1.62000000000000e+02  1.49806448963619e-04  3.49990428058219e-01 -9.62193738493489e-05
-1.59000000000000e+02  1.54145506945980e-04  3.49990292862054e-01 -9.79004935755673e-05
-1.56000000000000e+02  1.50561984681885e-04  3.49992524472016e-01 -9.99997591197288e-05
-1.53000000000000e+02  1.46979077062070e-04  3.49994451026034e-01 -9.99997799269042e-05
-1.50000000000000e+02  1.43396139430180e-04  3.49996087686587e-01 -9.99997965916849e-05
-1.47000000000000e+02  1.34341858032586e-04  3.50000000001663e-01 -9.99998171934552e-05
-1.44000000000000e+02  1.32328777054283e-04  3.50001218636936e-01 -9.99998359821549e-05
-1.41000000000000e+02  1.29801813394725e-04  3.50003516804110e-01 -9.99998541389713e-05
-1.38000000000000e+02  1.27897661903010e-04  3.50006069122226e-01 -9.99998614056100e-05
-1.35000000000000e+02  1.26256615060671e-04  3.50008734554717e-01 -9.99998636965760e-05
-1.32000000000000e+02  1.24524433766246e-04  3.50011387393220e-01 -9.99998659873130e-05
-1.29000000000000e+02  1.22785006912533e-04  3.50013988000102e-01 -9.99998668924362e-05
-1.26000000000000e+02  1.21066124279409e-04  3.50016444212797e-01 -9.99998636398783e-05
-1.23000000000000e+02  1.19380793315284e-04  3.50019012767813e-01 -9.99998606817792e-05
-1.20000000000000e+02  1.17773160459342e-04  3.50021833616524e-01 -9.99998577761799e-05
-1.17000000000000e+02  1.15932235401184e-04  3.50023739382584e-01 -9.99998530689938e-05
-1.14000000000000e+02  1.14141931675554e-04  3.50025883971005e-01 -9.99998483887168e-05
-1.11000000000000e+02  1.12405184766486e-04  3.50028333976257e-01 -9.99998436215163e-05
-1.08000000000000e+02  1.10622734526781e-04  3.50030034211198e-01 -9.99998395294632e-05
-1.05000000000000e+02  1.08804706408059e-04  3.50031472689910e-01 -9.99998358582610e-05
-1.02000000000000e+02  1.06984714860922e-04  3.50033261127597e-01 -9.99998320011797e-05
-9.90000000000000e+01  1.05221576403462e-04  3.50034821556323e-01 -9.99998291702636e-05
-9.60000000000000e+01  1.03568074910786e-04  3.50035379459493e-01 -9.99998288358367e-05
-9.30000000000000e+01  1.01830901693329e-04  3.50036338639419e-01 -9.99998283057468e-05
-9.00000000000000e+01  9.99953285190307e-05  3.50037703820502e-01 -9.99998277535635e-05
-8.70000000000000e+01  9.81600505267923e-05  3.50036338494801e-01 -9.99998348324704e-05
-8.40000000000000e+01  9.64231725846263e-05  3.50035379414690e-01 -9.99998418645953e-05
-8.10000000000000e+01  9.47699663932126e-05  3.50034821611351e-01 -9.99998487177869e-05
-7.80000000000000e+01  9.30069403345382e-05  3.50033261328918e-01 -9.99998575355251e-05
-7.50000000000000e+01  9.11869487449117e-05  3.50031472891209e-01 -9.99998671196295e-05
-7.20000000000000e+01  8.93689206238474e-05  3.50030034412492e-01 -9.99998764899951e-05
-6.90000000000000e+01  8.75874686457924e-05  3.50028334158516e-01 -9.99998859839285e-05
-6.60000000000000e+01  8.58537366608889e-05  3.50025883822593e-01 -9.99998957124971e-05
-6.30000000000000e+01  8.40664479301971e-05  3.50023738903567e-01 -9.99999052528552e-05
-6.00000000000000e+01  8.22285512234924e-05  3.50021832753220e-01 -9.99999146030946e-05
-5.70000000000000e+01  8.06179140909816e-05  3.50019012193433e-01 -9.99999227712829e-05
-5.40000000000000e+01  7.89295516550707e-05  3.50016444034876e-01 -9.99999307780448e-05
-5.10000000000000e+01  7.72076375267390e-05  3.50013988218614e-01 -9.99999386040078e-05
-4.80000000000000e+01  7.54671998915817e-05  3.50011387761717e-01 -9.99999448587511e-05
-4.50000000000000e+01  7.37350185517904e-05  3.50008734923150e-01 -9.99999503551095e-05
-4.20000000000000e+01  7.20939717375746e-05  3.50006069490698e-01 -9.99999557569672e-05
-3.90000000000000e+01  7.01898816372892e-05  3.50003517147700e-01 -9.99999583974210e-05
-3.60000000000000e+01  6.76629179251070e-05  3.50001218980470e-01 -9.99999544117076e-05
-3.30000000000000e+01  6.56498370051467e-05  3.50000000001665e-01 -9.86077822626530e-05
-3.00000000000000e+01  6.44849502422391e-05  3.49998415413580e-01 -9.71683189680845e-05
-2.93939393939394e+01  6.51839732130535e-05  3.49998985351149e-01 -9.73246130371794e-05
-2.87878787878788e+01  6.58829948484759e-05  3.49999555284785e-01 -9.74809071062743e-05
-2.81818181818182e+01  6.65820152560889e-05  3.49999999927852e-01 -9.76372011753639e-05
-2.75757575757576e+01  6.60857693020166e-05  3.49999988346917e-01 -9.78194477832747e-05
-2.69696969696970e+01  6.50772656223039e-05  3.49999548561840e-01 -9.80128169056106e-05
-2.63636363636364e+01  6.40687605264288e-05  3.49999108776326e-01 -9.82061860279413e-05
-2.57575757575758e+01  6.30602539191116e-05  3.49998668990405e-01 -9.83995551502755e-05
-2.51515151515151e+01  6.20517456957764e-05  3.49998229204108e-01 -9.85929242726113e-05
-2.45454545454545e+01  6.10432357428664e-05  3.49997789417461e-01 -9.87862933949472e-05
-2.39393939393939e+01  6.00214628639906e-05  3.49997343572642e-01 -9.89836876733891e-05
-2.33333333333333e+01  5.88803379164005e-05  3.49996843206809e-01 -9.92173083749995e-05
-2.27272727272727e+01  5.77392100731544e-05  3.49996342840545e-01 -9.94509290766113e-05
-2.21212121212121e+01  5.65980790649401e-05  3.49995842473869e-01 -9.96845497782227e-05
-2.15151515151515e+01  5.54569778790093e-05  3.49995342106798e-01 -9.99181716661160e-05
-2.09090909090909e+01  5.43158951567813e-05  3.49994841739349e-01 -1.00064103988459e-04
-2.03030303030303e+01  5.31748124343173e-05  3.49994341371538e-01 -1.00321466072157e-04
-1.96969696969697e+01  5.28315833228654e-05  3.49993939414196e-01 -1.00646458750424e-04
-1.90909090909091e+01  5.44571333181976e-05  3.49993945161130e-01 -1.00739077429987e-04
-1.84848484848485e+01  5.37430449396026e-05  3.49993711681189e-01 -1.00836547210782e-04
-1.78787878787879e+01  5.49467601650977e-05  3.49993679840998e-01 -1.00898098883487e-04
-1.72727272727273e+01  5.49774107655859e-05  3.49993538357449e-01 -1.00938936322532e-04
-1.66666666666667e+01  5.49568621480284e-05  3.49993402982746e-01 -1.00971369555100e-04
-1.60606060606061e+01  5.62702041834034e-05  3.49993391912652e-01 -1.00995450592270e-04
-1.54545454545455e+01  5.66346136025436e-05  3.49993267963641e-01 -1.01044110474961e-04
-1.48484848484848e+01  5.73916711474887e-05  3.49993182260445e-01 -1.01095432442556e-04
-1.42424242424242e+01  5.89292261728158e-05  3.49993161717141e-01 -1.01133346940237e-04
-1.36363636363636e+01  6.03210316231645e-05  3.49993113254555e-01 -1.01205974427983e-04
-1.30303030303030e+01  6.12172724483023e-05  3.49993025617059e-01 -1.01255060204029e-04
-1.24242424242424e+01  6.35330697197622e-05  3.49993041337729e-01 -1.01336316888242e-04
-1.18181818181818e+01  6.49778392861067e-05  3.49992987874692e-01 -1.01390809142652e-04
-1.12121212121212e+01  6.70363207187635e-05  3.49992963274311e-01 -1.01432057439406e-04
-1.06060606060606e+01  6.80386749961348e-05  3.49992869978212e-01 -1.01400928958280e-04
